id;nom_pays;superficie;sigle_auto;capitale
1;Outdoors Multi-channelled;24795;District applications;integrated Metal Neck
2;deposit;14424;transmitter;context-sensitive connecting
3;Ranch Dynamic;71741;auxiliary Toys Regional;Trace Shoal Beauty
4;e-markets;95814;Engineer Lights Pennsylvania;bypassing Licensed Frozen Shirt
5;Gourde US Dollar Re-contextualized Re-contextualized;65728;Tanzania cohesive;AGP Credit Card Account Chicken
6;needs-based Small Wooden Chips Plastic;89639;Fully-configurable fault-tolerant;alarm bypass
7;input embrace;9148;open-source;even-keeled CSS
8;Tasty Sudan;26938;Sleek Rubber Chips synthesizing New Taiwan Dollar;calculating
9;Officer Director Developer;47262;Michigan protocol Generic;projection
10;RSS Intelligent transform;96787;system;Ergonomic
